year,forecast_cost_INR_millions,cost_with_program,savings,ROI
2025,2224.761904761923,2002.2857142857306,222.4761904761922,-0.5550476190476157
2026,2296.3154761904734,2066.6839285714263,229.63154761904707,-0.540736904761906
2027,2367.869047619053,2131.082142857148,236.78690476190513,-0.5264261904761898
2028,2439.422619047633,2195.4803571428697,243.9422619047632,-0.5121154761904736
2029,2510.9761904761835,2259.8785714285655,251.09761904761808,-0.4978047619047638
2030,2582.5297619047637,2324.2767857142876,258.25297619047615,-0.4834940476190477
2031,2654.083333333343,2388.675000000009,265.4083333333342,-0.46918333333333156
2032,2725.636904761923,2453.0732142857305,272.5636904761923,-0.4548726190476154
2033,2797.1904761904734,2517.4714285714263,279.71904761904716,-0.44056190476190565
2034,2868.744047619053,2581.869642857148,286.8744047619052,-0.4262511904761895
